alpha Recall Prec F1 
0.010 0.913 0.917 0.914 
0.020 0.911 0.916 0.912 
0.030 0.909 0.916 0.910 
0.040 0.905 0.914 0.907 
0.050 0.902 0.912 0.903 
0.060 0.899 0.910 0.900 
0.070 0.898 0.909 0.898 
0.080 0.896 0.908 0.896 
0.090 0.894 0.907 0.895 
0.100 0.893 0.907 0.894 
0.110 0.892 0.907 0.892 
0.120 0.890 0.905 0.890 
0.130 0.888 0.905 0.889 
0.140 0.888 0.905 0.888 
0.150 0.887 0.905 0.887 
0.160 0.884 0.903 0.884 
0.170 0.883 0.902 0.883 
0.180 0.881 0.901 0.880 
0.190 0.879 0.900 0.879 
0.200 0.878 0.900 0.878 
0.300 0.868 0.895 0.867 
0.400 0.861 0.892 0.861 
0.500 0.855 0.889 0.854 
0.600 0.847 0.886 0.845 
0.700 0.841 0.883 0.840 
0.800 0.837 0.881 0.835 
0.900 0.834 0.881 0.832 
1.000 0.829 0.879 0.827
