16,3,50070000200000020040000000,500700-2.-2-4,500700,2.-2-4,"",25095,842612,897735,-76.5006,42.4639,50070000200000020040000000002,500700,0,0,"",CAYUGA ST N,0.0982960850436481,65,55,650,650,Governmnt,6500,6500,650,0,0103000020D5080000010000000400000004CE264084B629414FCB6BE319652B418ACDEE9914B7294141F3F05D5C652B41ADCC2F9F0FB7294170792A5F47662B4104CE264084B629414FCB6BE319652B41,0
22,8,50070000200000010010030000,500700-2.-1-1.3,500700,2.-1-1.3,"",25099,837904,895743,-76.5181,42.4584,50070000200000010010030000002,500700,551,894,"",TAUGHANNOCK BLVD,15.2679051847222,0,0,650,650,Governmnt,703000,703000,650,0,0103000020D50800000100000009000000AAE6B29CD48F294111ED2659D2552B4186E095E599902941940B0BC06C532B4180F665FA759229416A8975414C512B410F5BC542DF9329418DF1FDC1FD4E2B4159853240F9942941F28E6B057C4F2B417BF95C83D19329413444E5C13D522B41B766C21C20952941BB30B25EE35A2B41CBE20560E69029416F4631B9185B2B41AAE6B29CD48F294111ED2659D2552B41,0
23,9,50070000200000020010000000,500700-2.-2-1,500700,2.-2-1,"",25100,840199,895818,-76.5096,42.4586,50070000200000020010000000002,500700,0,0,"",PIER RD,11.7792738458361,0,0,330,330,Vacant comm,775000,775000,330,0,0103000020D50800000100000018000000FE9204FCD09F2941D065A438E8592B419D3064DCD99F29414D59E94131592B410CA75BC3E19F29413BBB6A3E8E582B410C73C76235A02941EC0ABD27F4572B41C2E3529E56A029419B46894384572B415954D05EBAA02941B8036A06D2562B418F054FA6EAA029413CF2463A86562B41FFB6E99D0FA129410616F74648562B41153BA2BB15A12941AD0E85242F562B412ABF5AD91BA129419E5D6820F1552B4183B390FD0BA1294141C8F125CE552B41CE9178FFFCA02941DD90DFC5A6552B413390083F2AA129413338E30040552B4183B390FD0BA12941FEE8237FEE542B4139241C392DA129419CABC17CF7542B417C1F7D0309A1294194CA9C1B39542B41C95AC35E36A12941743ACD2233542B4139241C392DA129417582398362532B41AF916A843FA12941816DEF62C2522B415628182441A129413FE791E766522B41DB847A6237A52941FBFBC17F89542B41FC23A284B7A72941813E6E80B8572B4131DA052339A72941B58DCA5B11582B41FE9204FCD09F2941D065A438E8592B41,0
38,23,50070000900000010030000000,500700-9.-1-3,500700,9.-1-3,"",25114,846909,894872,-76.4847,42.456,50070000900000010030000000002,500700,797,146,419,WYCKOFF AVE,0.363518944616551,80,180,230,230,3 family,42000,220000,230,0,0103000020D5080000010000000800000031E21B3BC2D72941AA801FA1D74E2B4181345303FFD72941DC6F703BA94E2B41551EF76542D82941CFCC26BC784E2B416BFC1FE121D9294172D596E46A4F2B4169B19A59ECD8294175B5361FE74F2B41E054746099D82941D0D068C2E44F2B41A65E555C78D82941A92BF17BBF4F2B4131E21B3BC2D72941AA801FA1D74E2B41,178000
52,37,50070000900000040020000000,500700-9.-4-2,500700,9.-4-2,"",25129,847532,894825,-76.4824,42.4559,50070000900000040020000000002,500700,602,501,213,DEARBORN PL,0.172038317749573,56,136,411,411,Apartment,32000,190000,411,0,0103000020D5080000010000000500000063FA3AA024DD2941832756C14D4F2B415E2CAE7A30DD2941F8920F88464E2B417303C8459FDD2941B35778A64B4E2B41FD1E666390DD2941A6BEFA82654F2B4163FA3AA024DD2941832756C14D4F2B41,158000
57,42,50070000900000040010000000,500700-9.-4-1,500700,9.-4-1,"",25134,847432,894806,-76.4828,42.4558,50070000900000040010000000002,500700,812,124,125,KELVIN PL,0.402996668944717,131,135,210,210,1 family,45100,243000,210,0,0103000020D5080000010000000B000000A5BBEF40DEDB294184D5BA5EDB4E2B417F4F6E2508DC294105A93CFCA74E2B41674AA5C431DC29413698F03C724E2B41DC54B0A53CDC2941F67E4F07624E2B41A92154A579DC2941FE41BF98074E2B415E2CAE7A30DD2941F8920F88464E2B4163FA3AA024DD2941832756C14D4F2B410B16E738D3DC2941C6DBE6863A4F2B413DD426FD87DC29417784A99B244F2B417C45717934DC294114CD0242084F2B41A5BBEF40DEDB294184D5BA5EDB4E2B41,197900
59,44,50070000600000010010000000,500700-6.-1-1,500700,6.-1-1,"",25136,843985,894842,-76.4956,42.456,50070000600000010010000000002,500700,0,0,521,LAKE ST,0.946560287728183,0,0,695,695,Cemetery,95000,95000,695,0,0103000020D5080000010000000C000000F34876A66BBE294164B83101FF4E2B4192B24126C8BE294161CB6C5BA14E2B41842613DFF0C02941AB14741BB14E2B4112C1FDE2F4C129417210DED9B84E2B413481AD21F6C12941FD13C601854E2B417C40D16323C32941FD13635B8C4E2B4143BDD74022C3294136FEAEC6C14E2B41935D8B5F76C42941E6128007CB4E2B41D19A417B76C429416A5AF659ED4E2B410117027DCEC429412218C462EF4E2B41EC92495FC8C42941C1CD13022D4F2B41F34876A66BBE294164B83101FF4E2B41,0
63,48,50070000700000030010020000,500700-7.-3-1.2,500700,7.-3-1.2,"",25140,844749,894566,-76.4927,42.4552,50070000700000030010020000002,500700,792,324,103,NEEDHAM PL,2.7016768197884,0,0,220,220,2 family,54000,240000,220,0,0103000020D5080000010000001000000025D5ED5E12C629413C182166D44B2B414F733F7ED7C62941A4F7AA67B24B2B41D98CE640DAC629414E984D40574B2B41867364BBC4C829419E0311F9424B2B41413F573BBAC82941DCE13086F64B2B414EE08821ABC8294146E6A7C6F74C2B412FC9BC7D95C929411F6C0ABBCC4D2B416DEB93BC2FC92941BD215A5A0A4E2B41E8AF5BDCBFC82941C00E82A6604E2B4177CF11DB3FC82941B93E8A03E14E2B41C608612105C8294184896F9E384E2B41DDCE980168C729410F945582004E2B41141ECBC58BC629411F6C0ABBCC4D2B419774AF8430C629417D3C025E4C4D2B4188B5B0C576C62941525EB464354C2B4125D5ED5E12C629413C182166D44B2B41,186000
64,49,50070000800000010020000000,500700-8.-1-2,500700,8.-1-2,"",25141,846080,894678,-76.4878,42.4555,50070000800000010020000000002,500700,0,0,116,WESTBOURNE LN,1.63167162338094,0,0,210,210,1 family,49900,240000,210,0,0103000020D5080000010000000B0000000FFAF662A0D029417F6EB161584E2B4140215F5CA1D02941011EF4D92D4D2B414D34BF823DD12941BF8AD499E94C2B410BF12CE36AD32941130A2FE0CF4C2B41340F65A65AD3294178E6C2780F4E2B41B5BE8F2333D32941DEA404E82E4E2B410E5082DD1BD32941743E11244A4E2B41ABA065DB00D32941888AF4C47A4E2B4154B62C63E4D22941092AB9C2D74E2B41A2CD8D6259D1294197554ADF564E2B410FFAF662A0D029417F6EB161584E2B41,190100
66,51,50070000600000010030000000,500700-6.-1-3,500700,6.-1-3,"",25143,844001,894686,-76.4955,42.4555,50070000600000010030000000002,500700,880,311,509-15,LAKE ST,2.85597426387995,0,0,411,411,Apartment,290000,1.61e+06,411,0,0103000020D5080000010000001000000082B3BAFF9FBF29413A7B86E08C4D2B41A458BE5F6CC02941A0A8693E714C2B41A1D5B6C1ADC0294186D4D167064C2B410654605DB0C129413C7157DE494C2B4180153A3B57C22941E6BC0545E54C2B41BB65C99C51C32941A35AAD3B724D2B415F796F9E94C32941AD0A45196E4D2B415515D823AFC329412A1C053FC14D2B411EC89CBA79C429415A500684324E2B41935D8B5F76C42941E6128007CB4E2B4143BDD74022C3294136FEAEC6C14E2B417C40D16323C32941FD13635B8C4E2B413481AD21F6C12941FD13C601854E2B4112C1FDE2F4C129417210DED9B84E2B41842613DFF0C02941AB14741BB14E2B4182B3BAFF9FBF29413A7B86E08C4D2B41,1.32e+06
